* Ensemble de règles qui régissent les rapports des membres d’une même société. Qui suis-je ? 	Le Droit.
** Citer deux raisons différentes expliquant pourquoi les logiciels ne sont pas protégeables par le droit des brevets, en France.	1/ C’est un bien immatériel et complexe qui reprend des langages de programmation déjà existant (difficile de prouver son caractère nouveau). 2/ Le dépôt d’un brevet nécessite une description technique complète, difficile de réaliser pour un logiciel.
* Présenter le droit d’auteur.	C’est l’ensemble des prérogatives exclusives dont dispose un auteur et ses ayants droit (société de production, héritiers, exploitants) sur des œuvres de l’esprit originales.
* Préciser quand s’éteignent les droits des auteurs d’œuvres littéraires et artistiques.	Ils s’éteignent 70 ans après la mort de l’auteur.
** Présenter les deux prérogatives de l’auteur d’une œuvre littéraire et artistique.	L’auteur bénéficie de droits patrimoniaux (droit de vendre, de reproduire, de mettre l’œuvre sur le marché) et de droits moraux (droit à la paternité de l’œuvre, droit au respect de l’œuvre, droit au retrait de l’œuvre).
* Nommer le logiciel créé par une communauté de développeurs indépendants, tous coauteurs du logiciel.	Une œuvre de collaboration.
* Le salarié qui a participé à la conception d’un logiciel peut apposer son nom dans le code source du logiciel. Vrai ou Faux ?	Vrai, puisqu’il conserve le droit à la paternité de l’œuvre.
* La mention Copyright est nécessaire pour qu’un logiciel bénéfice de la protection par le droit d’auteur en France. Vrai ou Faux ?	Faux, aucune mention ou procédure n’est nécessaire pour obtenir la protection en droit français. Le copyright appartient à la législation anglo-saxonne.
** Expliquer qui supporte la charge de la preuve en cas d’action en contrefaçon de logiciel.	La charge de la preuve est renversée. C’est au contrefacteur de rapporter la preuve qu’il n’a pas commis les actes répréhensibles dont on l’accuse.
** Lister différentes sanctions que l’auteur d’un logiciel peut obtenir en justice en cas d’action en concurrence déloyale. 	Il peut obtenir des dommages et intérêts, le retrait des produits incriminés (réparation en nature) et selon les cas la publication de la sanction pour informer le public.
* Préciser si les actions en contrefaçon et en concurrence déloyale sont cumulables en cas de conflit en matière de logiciel.	OUI, si l’auteur le souhaite.
* Identifier la forme que peut prendre la licence de logiciel.	La licence doit être un contrat écrit. Mais la forme de l’écrit importe peu. Il peut s’agir d’un document papier ou d’un document numérique.
** Préciser qui fixe les termes du contrat de licence de logiciel.	Les termes du contrat sont fixés par l’auteur du logiciel uniquement. L’utilisateur se verra donc imposer les conditions d’utilisation du logiciel. La licence de logiciel est un contrat d’adhésion.
** Préciser si un logiciel du domaine public a un auteur.	OUI, même si le logiciel peut être exploité par n’importe qui sans autorisation de son auteur, celui-ci reste et restera l’auteur du logiciel (conserve la paternité de l’œuvre).
** Expliquer le but d’une licence propriétaire.	- Elle a pour but d’empêcher la coopération entre les utilisateurs. (1 utilisateur = 1 licence) - Elle doit permettre l’enrichissement de son auteur puisque ces licences s’achètent.
** Citer 3 situations différentes que l’auteur d’un logiciel ne peut pas restreindre ou interdire dans un contrat de licence.	Sont autorisées : la copie privée, les analyses et courtes citations, la parodie, l’adaptation de l’œuvre pour des personnes handicapées, l’exploitation de l’œuvre à des fins pédagogiques…
** Lister les quatre droits qu’une licence de logiciel libre garantie.	La licence libre garantit le droit d'utiliser, d'étudier, de copier ou de redistribuer l'œuvre, le droit de modifier et de distribuer des versions modifiées de l'œuvre.
** Préciser la particularité des licences en copyleft.	Elles donnent accès au code source pour étude et/ou modification. En outre, les versions nouvelles restent libres (licence virale ou contaminente). Ex : GPL, CeCILL.
* Citer deux exemples de licence non copyleftée.	Les licences BSD et les licences X.
** Expliquer ce qu’est une licence double de logiciel.	C’est une licence proposant deux versions d’un même logiciel : une version communautaire (dégradée) et une version privative (complète).
* Préciser la date de la loi qui organise la protection des bases de données.	C’est la loi du 1er juillet 1998. Cette loi transpose la directive européenne du 11 mars 1996.
** Envisager les conséquences pour le créateur de la BDD que sa BDD soit reconnue comme originale par le juge.	 Le créateur de la BDD est alors considéré comme l’auteur de la BDD. Il bénéficie des droits moraux et patrimoniaux sur la BDD.
* Expliquer à quelle condition, la reproduction, totale ou partielle, d’une BDD est-elle possible.	La reproduction d’une BDD est possible seulement si l’auteur de la BDD en donne l’autorisation.
** Expliquer comment bénéficier de la protection par le droit du producteur sur une BDD. 	Le producteur de la base doit prouver qu'il a réalisé « un investissement financier, matériel ou humain substantiel pour la constitution, la vérification ou la présentation de la base de données ».
** L’extraction répétée de données non substantielles est considéré par le juge comme une atteindre au droit du producteur de BDD. Vrai ou faux ?	VRAI, la répétition de l’acte sera considérée comme une extraction quantitativement substantielle lorsqu’elle est manifestement abusive.
** Déterminer qui supporte la charge de la preuve lorsque le producteur d’une BDD engage une action en contrefaçon au pénal.	C’est au contrefacteur présumé de prouver qu’il n’a pu accéder à l’œuvre prétendument contrefaite pour échapper à sa responsabilité (renversement de la charge de la preuve).
** Définir la notion de patrimoine informationnel.	C’est l’ensemble des données, protégées ou non, valorisables ou historiques, d’une personne physique ou morale.
** Préciser à quelles conditions le patrimoine informationnel de l’entreprise est convenablement protégé.	Si l’entreprise est capable d’assurer l’identification des utilisateurs, l’authentification des matériels, l’intégrité, la fiabilité, la confidentialité et la transparence des données alors son patrimoine informationnel est convenablement protégé.
* L’archivage électronique permet la conservation des documents uniquement à valeur juridique au sein de l’entreprise. Vrai ou faux ?	FAUX, il permet de conserver tout type de documents à valeur juridique ou économique.
*** Citer 4 obligations du responsable du traitement de données à caractère personnel.	1/ Déclaration à la CNIL 2/ Obligation de sécurité 3/ Obligation de loyauté 4/ Obligation de respecter la destination finale du fichier 5/ Obligation d’informer la personne fichée,…
* Citer le nom d’une licence dite « virale » ou « contaminente ».	La licence GPL est une licence de ce type. Les nouvelles versions créées à partir de lignes de code sous licence GPL sont automatiquement placées sous licence GPL. 
